"number","title","pageid","namespace","length","touched"
"77","胡","24325","","4651","20161201150415"
"78","若","24851","","4989","20161201161703"
"79","茲","24929","","1528","20161130172658"
"80","莫","25068","","3838","20161201150418"
"81","誰","27048","","4264","20161130172714"
"82","谁","27408","","456","20161130172718"
"83","貴","27651","","9374","20161201150418"
"84","贵","27782","","499","20161130172719"
"85","身","28277","","9762","20161201150419"
"86","这","28627","","520","20161130172723"
"87","迺","28661","","777","20161130172723"
"88","這","28692","","4042","20161201150419"
"89","那","28865","","4021","20161130172727"
"90","人家","56606","","1007","20161130172756"
"91","何時","210046","","2946","20161130172805"
"92","什么","215617","","278","20161130172808"
"93","我们","217015","","397","20161130172808"
"94","这儿","217402","","187","20161130172809"
"95","人人","223713","","686","20161130172815"
"96","我們","226421","","1075","20161130172815"
"97","兄弟","237039","","2404","20161201150420"
"98","甚麼","247546","","167","20161130172823"
"99","天涯何處無芳草","259884","","537","20161130172826"
"100","天涯何处无芳草","259886","","75","20161130172826"
"101","這兒","267474","","516","20161130172826"
"102","這裡","267475","","538","20161130172826"
"103","这里","267477","","264","20161130172826"
"104","他们","278199","","313","20161130172837"
"105","他們","278286","","1156","20161130172837"
"106","那里","319228","","264","20161130172852"
"107","那裡","319317","","528","20161130172852"
"108","她们","489989","","270","20161130172919"
"109","她們","489990","","793","20161130172919"
"110","吾輩","509238","","920","20161130172932"
"111","哪里","519254","","222","20161130172935"
"112","哪裡","519256","","1100","20161130172935"
"113","那个","519280","","187","20161130172935"
"114","那個","519281","","560","20161130172935"
"115","哪个","519388","","131","20161130172935"
"116","哪個","519389","","457","20161130172935"
"117","那些","520113","","430","20161130172935"
"118","那樣","520149","","415","20161130172935"
"119","你们","520216","","338","20161130172935"
"120","你們","520217","","467","20161130172935"
"121","什麼","526046","","2530","20161130172940"
"122","它们","530309","","296","20161130172943"
"123","它們","530310","","763","20161130172943"
"124","这个","756020","","173","20161130173029"
"125","這個","756021","","601","20161130173029"
"126","何人","794668","","601","20161130173043"
"127","一切","795594","","4986","20161130173043"
"128","有的","815321","","371","20161130173047"
"129","咱們","819644","","431","20161130173047"
"130","咱们","819645","","236","20161130173047"
"131","这么","822975","","173","20161130173048"
"132","這些","822979","","899","20161130173048"
"133","这些","822982","","187","20161130173048"
"134","這麼","823082","","684","20161130173048"
"135","這樣","823221","","471","20161130173048"
"136","这样","823224","","171","20161130173048"
"137","柳下惠","847756","","1222","20161130173106"
"138","何處","857655","","272","20161130173108"
"139","何处","857656","","74","20161130173108"
"140","妾身","895812","","328","20161130173111"
"141","老夫","906896","","317","20161130173111"
"142","小僧","907783","","1375","20161130173119"
"143","各自","932710","","751","20161130173131"
"144","何时","1043396","","103","20161130173142"
"145","自身","1104193","","883","20161130173226"
"146","吾人","1114438","","366","20161130173231"
"147","𠄎","1370716","","594","20161130173312"
"148","吾等","1389260","","213","20161130173314"
"149","兩者","1436720","","372","20161130173332"
"150","吾當","1555590","","170","20161130173350"
"151","吾当","1555591","","45","20161130173350"
"152","誰人","1561961","","260","20161130173350"
"153","谁人","1561962","","74","20161130173350"
"154","老子","1563088","","2987","20161201150423"
"155","足下","1589698","","4780","20161130173356"
"156","個人","1612638","","1067","20161130173402"
"157","个人","1612640","","173","20161130173402"
"158","本人","1628313","","1171","20161130173407"
"159","某等","1631190","","183","20161130173407"
"160","安所","1666649","","205","20161130173415"
"161","某人","1745429","","376","20161130173427"
"162","某事","1846248","","251","20161130173442"
"163","怎么办","1859933","","86","20161130173443"
"164","怎麼辦","1859936","","482","20161130173443"
"165","您们","1896489","","60","20161130173455"
"166","您們","1928522","","421","20161130173457"
"167","哪些","2170075","","312","20161130173605"
"168","某处","2176228","","60","20161130173605"
"169","某處","2176230","","223","20161130173605"
"170","本身","2709365","","315","20161130173644"
"171","小女子","2748701","","869","20161130173645"
"172","君侯","2935960","","338","20161130173706"
"173","难处","3175678","","74","20161130173741"
"174","難處","3175679","","383","20161130173741"
"175","吾家","3394620","","248","20161130173804"
"176","彼此","3524311","","480","20161130173830"
"177","老朽","3740927","","625","20161130173912"
"178","𫝃","3846176","","399","20161130173923"
"179","我輩","3860251","","593","20161130173923"
"180","𠇍","3917981","","598","20161130173935"
"181","㞢","3976329","","383","20161130173946"
"182","㡬","3990590","","269","20161130173946"
"183","𠁼","4067586","","637","20161130173951"
"184","神马","4189787","","88","20161130174018"
"185","神馬","4189788","","285","20161130174018"
"186","這樣子","4273272","","230","20161130174039"
"187","这样子","4273359","","50","20161130174039"
"188","牠們","4284629","","570","20161130174054"
"189","我儂","4307269","","247","20161130174113"
"190","我侬","4307270","","60","20161130174113"
"191","两者","4319646","","67","20161130174119"
"192","二者","4319647","","191","20161130174119"
"193","什麼樣","4426840","","215","20161130174214"
"194","什么样","4426841","","32","20161130174214"
"195","哪裏","4433051","","62","20161130174222"
"196","個個","4434277","","468","20161130174222"
"197","个个","4434279","","74","20161130174222"
"198","𠄕","4438119","","312","20161130174224"
"199","悉數","4462407","","293","20161130174242"
"200","悉数","4462408","","74","20161130174242"
"201","何许","4464379","","60","20161130174243"
"202","何許","4464383","","275","20161130174243"
"203","那裏","4483057","","62","20161130174248"
"204","寡人","4611231","","251","20161130174435"
"205","你我","4624561","","590","20161130174454"
"206","我人","4764260","","233","20161130174621"
"207","這裏","4831538","","62","20161130174722"
"208","這末","4856710","","47","20161130174735"
"209","这末","4856711","","47","20161130174735"
"210","郎君","4882191","","366","20161130174735"
"211","那時","4900208","","252","20161130174746"
"212","那时","4900211","","130","20161130174746"
"213","樣樣","4989042","","239","20161130174810"
"214","样样","4989043","","58","20161130174810"
"215","什麽","4991031","","83","20161130174810"
"216","甚麽","4991032","","83","20161130174810"
"217","𠮶","5024988","","261","20161130174827"
"218","喒們","5091541","","46","20161130174839"
"219","偺們","5091542","","69","20161130174839"
"220","𢈿","5180527","","291","20161130174901"
"221","妳們","5253784","","302","20161130174918"
"222","在下","5487994","","247","20161130174952"
"223","祢们","5582219","","45","20161130175036"
"224","祂們","5582220","","231","20161130175036"
"225","祂们","5582221","","45","20161130175036"
"226","祢們","5582223","","258","20161130175036"
"227","我辈","5582411","","60","20161130175038"
"228","本府","5601523","","661","20161130175105"
"229","微臣","5647552","","585","20161130175117"
"230","儿臣","5654794","","45","20161130175132"
"231","兒臣","5654798","","686","20161130175132"
"232","吾辈","5675722","","60","20161130175148"
"233","他家","5679970","","259","20161130175158"
"234","郍裏","5710851","","31","20161130175224"
"235","俺們","5716556","","249","20161130175249"
"236","俺们","5716557","","60","20161130175249"
"237","哪次","5834773","","248","20161130175338"
"238","貧道","5834838","","221","20161130175346"
"239","贫道","5834839","","60","20161130175346"
"240","几岁","5834841","","60","20161130175346"
"241","幾歲","5834842","","276","20161201150430"
"242","此处","5857557","","60","20161130175410"
"243","此處","5857558","","299","20161130175410"
"244","渠侬","5872414","","60","20161130175422"
"245","渠儂","5872419","","351","20161130175422"
"246","𤙌","5872997","","256","20161130175423"
"247","小生","5879927","","540","20161130175427"
"248","他们俩","5893623","","69","20161130175442"
"249","他們倆","5893638","","220","20161130175442"
"250","什么东东","5893867","","57","20161130175442"
"251","什麼東東","5893868","","304","20161130175442"
"252","你們倆","5893998","","206","20161130175444"
"253","你们俩","5894000","","69","20161130175444"
"254","我們倆","5894001","","176","20161130175444"
"255","我们俩","5894003","","51","20161130175444"
"256","干什么","5936484","","86","20161130175507"
"257","幹什麼","5936486","","416","20161130175507"
"258","哪樣","5958346","","226","20161130175529"
"259","哪样","5958347","","44","20161130175529"
